,County,State,Race,Population Size,Total Pop,Percentage
123,Talbot ,MD,Native Hawaiian or Pacific Islander,72,37181,0.193647292972217
124,Talbot ,MD,Asian,538,37181,1.446975605820177
125,Talbot ,MD,Black,4758,37181,12.796858610580673
126,Washington ,MD,Asian,2921,151049,1.9338095584876431
127,Washington ,MD,Black,18921,151049,12.526398718296711
128,Washington ,MD,White,123930,151049,82.04622341094611
129,Washington ,MD,Native American or Alaskan,514,151049,0.34028692675886635
130,Washington ,MD,Native Hawaiian or Pacific Islander,127,151049,0.08407867645598449
131,Washington ,MD,Two or more Races,4636,151049,3.0692027090546774
132,Wicomico ,MD,Asian,3136,103609,3.0267640842011794
133,Wicomico ,MD,Native American or Alaskan,421,103609,0.4063353569670588
134,Wicomico ,MD,Two or more Races,2931,103609,2.8289048248704263
135,Wicomico ,MD,Native Hawaiian or Pacific Islander,146,103609,0.14091439932824368
136,Wicomico ,MD,Black,28336,103609,27.348975475103515
137,Wicomico ,MD,White,68639,103609,66.24810585952959
138,Worcester ,MD,White,43411,52276,83.04193128778024
139,Worcester ,MD,Black,6813,52276,13.032749253959752
140,Worcester ,MD,Asian,801,52276,1.5322518937944756
141,Worcester ,MD,Native Hawaiian or Pacific Islander,23,52276,0.04399724538985385
142,Worcester ,MD,Two or more Races,1013,52276,1.9377917208661717
143,Worcester ,MD,Native American or Alaskan,215,52276,0.41127859820950335
